customer_id,age,gender,income,credit_score,risk_profile,purchase_history,interests,engagement_score,sentiment_score,social_media_activity,churn
1,25,Male,10000,650,Conservative,"['savings_account', 'credit_card']","['investing', 'budgeting']",0.85,0.75,"['Loved the new mobile banking app!', 'Looking for investment tips.']",0
2,30,Female,15000,680,Conservative,"['mortgage', 'auto_loan']","['home_improvement', 'travel']",0.90,0.85,"['The mortgage process was smooth!', 'Need advice on refinancing.']",1
3,22,Non-Binary,20000,700,Moderate,"['student_loan', 'checking_account']","['tech', 'financial_literacy']",0.78,0.65,"['The student loan rates are great!', 'Looking for budgeting tools.']",0
4,45,Male,18000,720,Moderate,"['insurance_policy', 'retirement_account']","['retirement_planning', 'health']",0.92,0.88,"['The insurance coverage is comprehensive!', 'Need more retirement advice.']",0
5,50,Female,19000,650,Moderate,"['investment_portfolio', 'credit_card']","['wealth_management', 'luxury']",0.95,0.90,"['The investment options are excellent!', 'Looking for premium credit cards.']",1
6,35,Non-Binary,14000,690,Conservative,"['personal_loan', 'savings_account']","['debt_repayment', 'fitness']",0.80,0.70,"['The personal loan process was quick!', 'Need tips on managing debt.']",0
7,28,Male,16000,710,Moderate,"['auto_insurance', 'checking_account']","['cars', 'travel']",0.87,0.82,"['The auto insurance rates are competitive!', 'Looking for travel insurance.']",1
8,40,Female,17500,680,Moderate,"['home_insurance', 'mortgage']","['home_improvement', 'family']",0.89,0.84,"['The home insurance claim process was easy!', 'Need advice on home equity loans.']",0
9,55,Male,19050,730,Moderate,"['life_insurance', 'investment_portfolio']","['retirement_planning', 'health']",0.91,0.86,"['The life insurance policy is great!', 'Looking for estate planning services.']",0
10,33,Female,25000,750,Aggressive,"['credit_card', 'personal_loan']","['fashion', 'luxury']",0.83,0.77,"['The credit card rewards are amazing!', 'Need more luxury travel offers.']",1
